id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
484595,2022-11-03,quinta-feira,18:00:00,RJ,40.0,120,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Anoitecer,Decrescente,Nublado,Múltipla,Reta,Sim,3,0,1,1,1,0,2,2,-22.77280597,-43.28626763,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
487567,2022-11-18,sexta-feira,08:15:00,RJ,40.0,123,DUQUE DE CAXIAS,Trafegar com motocicleta (ou similar) entre as faixas,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Múltipla,Reta,Sim,4,0,2,0,2,0,2,4,-22.79907687,-43.29015739,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
488536,2022-11-25,sexta-feira,19:10:00,RJ,40.0,113,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Sim,3,0,1,0,1,1,1,3,-22.70948502,-43.29040354,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
488593,2022-11-21,segunda-feira,12:30:00,RJ,40.0,109,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,8,0,1,0,6,1,1,6,-22.67374628,-43.28638368,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
489373,2022-11-28,segunda-feira,11:09:00,RJ,40.0,109,DUQUE DE CAXIAS,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Sem Vítimas,Pleno dia,Crescente,Sol,Múltipla,Reta,Sim,2,0,0,0,2,0,0,2,-22.67374628,-43.28638368,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
491564,2022-12-08,quinta-feira,17:40:00,RJ,40.0,121,DUQUE DE CAXIAS,Ausência de reação do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,-22.78185499,-43.28571273,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
494562,2022-12-22,quinta-feira,22:00:00,RJ,40.0,119,DUQUE DE CAXIAS,Ultrapassagem Indevida,Colisão frontal,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Dupla,Viaduto;Retorno Regulamentado;,Sim,2,0,1,0,1,0,1,2,-22.76375592,-43.28683062,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
494628,2022-12-22,quinta-feira,19:50:00,RJ,40.0,120,DUQUE DE CAXIAS,Entrada inopinada do pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Sim,3,0,0,1,2,0,1,2,-22.77280597,-43.28626763,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
494767,2022-12-23,sexta-feira,16:15:00,RJ,40.0,105,DUQUE DE CAXIAS,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Declive,Sim,2,0,1,0,0,1,1,2,-22.63784806,-43.28428824,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
495330,2022-10-14,sexta-feira,11:30:00,RJ,40.0,121,DUQUE DE CAXIAS,Acessar a via sem observar a presença dos outros veículos,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Interseção de Vias,Sim,6,0,1,2,3,0,3,2,-22.78185499,-43.28571273,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
523089,2022-10-04,terça-feira,13:35:00,RJ,40.0,109,DUQUE DE CAXIAS,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,3,0,1,0,2,0,1,3,-22.67374628,-43.28638368,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
406129,2022-01-05,quarta-feira,14:40:00,RJ,40.0,113,DUQUE DE CAXIAS,Velocidade Incompatível,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,1,-22.70948502,-43.29040354,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
407203,2022-01-07,sexta-feira,06:45:00,RJ,40.0,113,DUQUE DE CAXIAS,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Garoa/Chuvisco,Múltipla,Reta,Não,2,0,1,0,1,0,1,2,-22.70948502,-43.29040354,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
407791,2022-01-09,domingo,15:45:00,RJ,40.0,109,DUQUE DE CAXIAS,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,-22.67434247,-43.2857573,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
407940,2022-01-10,segunda-feira,13:30:00,GO,40.0,5,VALPARAISO DE GOIAS,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Interseção de Vias,Sim,2,0,1,1,0,0,2,2,-16.093134,-47.982236,SPRF-DF,DEL01-DF,UOP01-DEL01-DF
408207,2022-01-12,quarta-feira,10:15:00,RJ,40.0,105,DUQUE DE CAXIAS,Conversão proibida,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Aclive;Reta                   ,Sim,2,0,1,0,1,0,1,2,-22.63784806,-43.28428824,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
408749,2022-01-15,sábado,07:05:00,GO,40.0,5,VALPARAISO DE GOIAS,Manobra de mudança de faixa,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,-16.093134,-47.982236,SPRF-DF,DEL01-DF,UOP01-DEL01-DF
409522,2022-01-17,segunda-feira,17:40:00,RJ,40.0,123,RIO DE JANEIRO,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,-22.79907687,-43.29015739,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
410034,2022-01-20,quinta-feira,12:50:00,GO,40.0,5,VALPARAISO DE GOIAS,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Retorno Regulamentado,Sim,2,0,1,0,1,0,1,2,-16.093134,-47.982236,SPRF-DF,DEL01-DF,UOP01-DEL01-DF
410344,2022-01-22,sábado,05:30:00,RJ,40.0,109,DUQUE DE CAXIAS,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Amanhecer,Decrescente,Céu Claro,Simples,Reta,Sim,4,0,1,0,2,1,1,2,-22.67374628,-43.28638368,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
410351,2022-01-22,sábado,07:20:00,RJ,40.0,123,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,4,0,2,1,1,0,3,2,-22.79907687,-43.29015739,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
410716,2022-01-23,domingo,19:40:00,RJ,40.0,109,DUQUE DE CAXIAS,Condutor deixou de manter distância do veículo da frente,Engavetamento,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Sim,3,0,0,0,2,1,0,3,-22.6744598,-43.2854594,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
410880,2022-01-24,segunda-feira,12:25:00,RJ,40.0,109,DUQUE DE CAXIAS,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,-22.67374628,-43.28638368,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
410892,2022-01-24,segunda-feira,13:53:00,RJ,40.0,119,DUQUE DE CAXIAS,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Múltipla,Reta,Sim,3,0,1,0,2,0,1,2,-22.76375592,-43.28683062,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
411242,2022-01-26,quarta-feira,18:20:00,GO,40.0,3,VALPARAISO DE GOIAS,Manobra de mudança de faixa,Colisão transversal,Com Vítimas Feridas,Anoitecer,Crescente,Nublado,Dupla,Reta,Sim,3,0,1,0,1,1,1,3,-16.076081,-47.985671,SPRF-DF,DEL01-DF,UOP01-DEL01-DF
411355,2022-01-27,quinta-feira,10:30:00,RJ,40.0,121,DUQUE DE CAXIAS,Demais falhas mecânicas ou elétricas,Incêndio,Sem Vítimas,Pleno dia,Crescente,Sol,Múltipla,Reta,Sim,1,0,0,0,1,0,0,1,-22.78185499,-43.28571273,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
411990,2022-01-30,domingo,16:05:00,GO,40.0,2,VALPARAISO DE GOIAS,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,3,0,0,1,2,0,1,2,-16.067129,-47.984235,SPRF-DF,DEL01-DF,UOP01-DEL01-DF
412271,2022-02-01,terça-feira,07:40:00,RJ,40.0,121,DUQUE DE CAXIAS,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Múltipla,Curva,Sim,2,0,1,0,1,0,1,2,-22.78185499,-43.28571273,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
412419,2022-02-02,quarta-feira,04:30:00,RJ,40.0,121,DUQUE DE CAXIAS,Manobra de mudança de faixa,Capotamento,Com Vítimas Feridas,Amanhecer,Crescente,Céu Claro,Múltipla,Reta,Sim,1,0,1,0,0,0,1,1,-22.778973,-43.285965,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
412560,2022-02-02,quarta-feira,22:15:00,RJ,40.0,105,DUQUE DE CAXIAS,Velocidade Incompatível,Colisão frontal,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Simples,Viaduto;Reta                  ,Sim,2,0,1,0,1,0,1,2,-22.63784806,-43.28428824,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
413790,2022-02-09,quarta-feira,04:30:00,RJ,40.0,119,DUQUE DE CAXIAS,Animais na Pista,Atropelamento de Animal,Sem Vítimas,Amanhecer,Decrescente,Nublado,Múltipla,Reta,Sim,1,0,0,0,0,1,0,1,-22.76375592,-43.28683062,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
413866,2022-02-09,quarta-feira,13:20:00,RJ,40.0,121,DUQUE DE CAXIAS,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Múltipla,Reta,Sim,3,0,2,0,1,0,2,2,-22.78185499,-43.28571273,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
413884,2022-02-09,quarta-feira,12:50:00,RJ,40.0,113,DUQUE DE CAXIAS,Entrada inopinada do pedestre,Atropelamento de Pedestre,Com Vítimas Fatais,Pleno dia,Decrescente,Garoa/Chuvisco,Dupla,Reta,Sim,3,1,0,0,2,0,0,3,-22.70948502,-43.29040354,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
414085,2022-02-10,quinta-feira,15:40:00,RJ,40.0,109,DUQUE DE CAXIAS,Pista Escorregadia,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Retorno Regulamentado,Não,1,0,1,0,0,0,1,1,-22.67374628,-43.28638368,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
414095,2022-02-10,quinta-feira,18:15:00,RJ,40.0,123,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Queda de ocupante de veículo,Com Vítimas Feridas,Anoitecer,Crescente,Nublado,Múltipla,Reta,Sim,1,0,1,0,0,0,1,1,-22.79907687,-43.29015739,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
414937,2022-02-14,segunda-feira,10:30:00,RJ,40.0,123,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,2,0,1,0,1,0,1,1,-22.79907687,-43.29015739,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
417043,2022-02-25,sexta-feira,08:20:00,GO,40.0,2,VALPARAISO DE GOIAS,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta;Declive                  ,Sim,1,0,1,0,0,0,1,1,-16.067129,-47.984235,SPRF-DF,DEL01-DF,UOP01-DEL01-DF
417293,2022-02-17,quinta-feira,18:40:00,RJ,40.0,123,DUQUE DE CAXIAS,Pista Escorregadia,Tombamento,Com Vítimas Feridas,Plena Noite,Decrescente,Garoa/Chuvisco,Simples,Retorno Regulamentado;Curva   ,Sim,2,0,1,0,1,0,1,1,-22.79907687,-43.29015739,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
417315,2022-02-26,sábado,08:00:00,DF,40.0,3,BRASILIA,Avarias e/ou desgaste excessivo no pneu,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,2,0,0,0,2,1,-16.003145,-47.983944,SPRF-DF,DEL01-DF,UOP01-DEL01-DF
417781,2022-02-28,segunda-feira,08:20:00,RJ,40.0,119,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,5,0,2,0,1,2,2,3,-22.75814072,-43.28701258,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
418189,2022-03-02,quarta-feira,16:10:00,RJ,40.0,109,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,Não,2,0,2,0,0,0,2,1,-22.67374628,-43.28638368,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
418711,2022-03-05,sábado,08:10:00,RJ,40.0,109,DUQUE DE CAXIAS,Avarias e/ou desgaste excessivo no pneu,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Não,1,0,1,0,0,0,1,1,-22.67374628,-43.28638368,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
419166,2022-03-07,segunda-feira,10:15:00,RJ,40.0,105,DUQUE DE CAXIAS,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Interseção de Vias,Sim,2,0,1,0,1,0,1,2,-22.64139281,-43.283385,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
419584,2022-03-09,quarta-feira,19:05:00,RJ,40.0,121,DUQUE DE CAXIAS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Sim,4,0,1,0,3,0,1,2,-22.78185499,-43.28571273,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
419988,2022-03-11,sexta-feira,21:30:00,RJ,40.0,113,DUQUE DE CAXIAS,Demais falhas mecânicas ou elétricas,Incêndio,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Retorno Regulamentado,Sim,1,0,0,0,1,0,0,1,-22.70948502,-43.29040354,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
420050,2022-03-12,sábado,04:50:00,RJ,40.0,121,DUQUE DE CAXIAS,Pedestre cruzava a pista fora da faixa,Atropelamento de Pedestre,Com Vítimas Feridas,Amanhecer,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,0,1,0,1,1,2,-22.78185499,-43.28571273,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
420372,2022-03-13,domingo,16:10:00,RJ,40.0,109,DUQUE DE CAXIAS,Demais falhas mecânicas ou elétricas,Incêndio,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,13,0,1,0,11,1,1,2,-22.67374628,-43.28638368,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
420677,2022-01-05,quarta-feira,20:30:00,RJ,40.0,121,DUQUE DE CAXIAS,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Simples,Viaduto,Sim,4,0,1,0,2,1,1,2,-22.78185499,-43.28571273,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
